from$label_from$sent_from$type$to$label_to$sent_to
Морфин$prepare$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.$link$фенантреновым алкалоидом опийного мака$group$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.
Морфин$prepare$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.$link$агонистом опиоидных рецепторов$group$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.
Морфин$prepare$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$link$Центральное действие$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
может привести к$action$Одновременное применение опиоидов с бензодиазепинами или другими средствами, угнетающими ЦНС (включая другие опиоиды, седативные и снотворные средства, средства для общей анестезии, фенотиазины, транквилизаторы, антигистаминные препараты, обладающие седативным эффектом), включая алкоголь, может привести к глубокому седативному эффекту, угнетению дыхания, коме и смерти.$link$коме$side_e$Одновременное применение опиоидов с бензодиазепинами или другими средствами, угнетающими ЦНС (включая другие опиоиды, седативные и снотворные средства, средства для общей анестезии, фенотиазины, транквилизаторы, антигистаминные препараты, обладающие седативным эффектом), включая алкоголь, может привести к глубокому седативному эффекту, угнетению дыхания, коме и смерти.
может привести к$action$Одновременное применение опиоидов с бензодиазепинами или другими средствами, угнетающими ЦНС (включая другие опиоиды, седативные и снотворные средства, средства для общей анестезии, фенотиазины, транквилизаторы, антигистаминные препараты, обладающие седативным эффектом), включая алкоголь, может привести к глубокому седативному эффекту, угнетению дыхания, коме и смерти.$link$смерти$side_e$Одновременное применение опиоидов с бензодиазепинами или другими средствами, угнетающими ЦНС (включая другие опиоиды, седативные и снотворные средства, средства для общей анестезии, фенотиазины, транквилизаторы, антигистаминные препараты, обладающие седативным эффектом), включая алкоголь, может привести к глубокому седативному эффекту, угнетению дыхания, коме и смерти.
Одновременное применение$attention$Одновременное применение опиоидов с бензодиазепинами или другими средствами, угнетающими ЦНС (включая другие опиоиды, седативные и снотворные средства, средства для общей анестезии, фенотиазины, транквилизаторы, антигистаминные препараты, обладающие седативным эффектом), включая алкоголь, может привести к глубокому седативному эффекту, угнетению дыхания, коме и смерти.$Not_link$может привести к$action$Одновременное применение опиоидов с бензодиазепинами или другими средствами, угнетающими ЦНС (включая другие опиоиды, седативные и снотворные средства, средства для общей анестезии, фенотиазины, транквилизаторы, антигистаминные препараты, обладающие седативным эффектом), включая алкоголь, может привести к глубокому седативному эффекту, угнетению дыхания, коме и смерти.
опиоидного анальгетика$prepare$Одновременное назначение опиоидного анальгетика и бензодиазепинов или других препаратов угнетающих ЦНС возможно только в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы.$link$бензодиазепинов$prepare$Одновременное назначение опиоидного анальгетика и бензодиазепинов или других препаратов угнетающих ЦНС возможно только в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы.
бензодиазепинов$prepare$Одновременное назначение опиоидного анальгетика и бензодиазепинов или других препаратов угнетающих ЦНС возможно только в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы.$link$препаратов угнетающих ЦНС$group$Одновременное назначение опиоидного анальгетика и бензодиазепинов или других препаратов угнетающих ЦНС возможно только в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы.
препаратов угнетающих ЦНС$group$Одновременное назначение опиоидного анальгетика и бензодиазепинов или других препаратов угнетающих ЦНС возможно только в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы.$link$в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы$recomendation$Одновременное назначение опиоидного анальгетика и бензодиазепинов или других препаратов угнетающих ЦНС возможно только в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы.
опиоидного анальгетика$prepare$Одновременное назначение опиоидного анальгетика и бензодиазепинов или других препаратов угнетающих ЦНС возможно только в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы.$Not_link$в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы$recomendation$Одновременное назначение опиоидного анальгетика и бензодиазепинов или других препаратов угнетающих ЦНС возможно только в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы.
бензодиазепинов$prepare$Одновременное назначение опиоидного анальгетика и бензодиазепинов или других препаратов угнетающих ЦНС возможно только в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы.$Not_link$в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы$recomendation$Одновременное назначение опиоидного анальгетика и бензодиазепинов или других препаратов угнетающих ЦНС возможно только в случае крайней необходимости у пациентов, для которых альтернативные варианты лечения не применимы.
морфина$prepare$Если принято решение о назначении морфина одновременно со средствами, угнетающими ЦНС, следует использовать наименьшую эффективную дозу обоих препаратов, а продолжительность совместного применения должна быть как можно меньше.$link$средствами, угнетающими ЦНС$group$Если принято решение о назначении морфина одновременно со средствами, угнетающими ЦНС, следует использовать наименьшую эффективную дозу обоих препаратов, а продолжительность совместного применения должна быть как можно меньше.
средствами, угнетающими ЦНС$group$Если принято решение о назначении морфина одновременно со средствами, угнетающими ЦНС, следует использовать наименьшую эффективную дозу обоих препаратов, а продолжительность совместного применения должна быть как можно меньше.$link$следует использовать наименьшую эффективную дозу обоих препаратов, а продолжительность совместного применения должна быть как можно меньше$recomendation$Если принято решение о назначении морфина одновременно со средствами, угнетающими ЦНС, следует использовать наименьшую эффективную дозу обоих препаратов, а продолжительность совместного применения должна быть как можно меньше.
морфина$prepare$Если принято решение о назначении морфина одновременно со средствами, угнетающими ЦНС, следует использовать наименьшую эффективную дозу обоих препаратов, а продолжительность совместного применения должна быть как можно меньше.$Not_link$следует использовать наименьшую эффективную дозу обоих препаратов, а продолжительность совместного применения должна быть как можно меньше$recomendation$Если принято решение о назначении морфина одновременно со средствами, угнетающими ЦНС, следует использовать наименьшую эффективную дозу обоих препаратов, а продолжительность совместного применения должна быть как можно меньше.
Буторфанол$prepare$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.$link$могут спровоцировать$action$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.
налбуфин$prepare$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.$link$могут спровоцировать$action$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.
пентазоцин$prepare$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.$link$могут спровоцировать$action$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.
могут спровоцировать$action$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.$link$синдром «отмены»$side_e$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.
синдром «отмены»$side_e$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.$link$которые недавно использовали чистые агонисты$noun$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.
которые недавно использовали чистые агонисты$noun$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.$link$морфин$prepare$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.
Буторфанол$prepare$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.$Not_link$которые недавно использовали чистые агонисты$noun$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.
налбуфин$prepare$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.$Not_link$которые недавно использовали чистые агонисты$noun$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.
пентазоцин$prepare$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.$Not_link$которые недавно использовали чистые агонисты$noun$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.
могут спровоцировать$action$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.$Not_link$которые недавно использовали чистые агонисты$noun$Буторфанол, налбуфин или пентазоцин могут спровоцировать синдром «отмены» у пациентов, которые недавно использовали чистые агонисты, такие как морфин.
действие на желудочно-кишечный тракт$noun$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.$link$может приводить к уменьшению всасывания$action$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.
может приводить к уменьшению всасывания$action$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.$link$мексилетина$prepare$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.
действие на желудочно-кишечный тракт$noun$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.$link$снижению эффекта$noun$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.
снижению эффекта$noun$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.$link$метоклопрамида$prepare$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.
снижению эффекта$noun$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.$link$домперидона$prepare$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.
может приводить к уменьшению всасывания$action$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.$Not_link$снижению эффекта$noun$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.
мексилетина$prepare$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.$Not_link$снижению эффекта$noun$Например, их действие на желудочно-кишечный тракт может приводить к уменьшению всасывания, например, мексилетина или снижению эффекта метоклопрамида, домперидона.
фенобарбитала$prepare$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.$link$барбитуратов$group$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.
барбитуратов$group$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.$link$уменьшения$action$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.
уменьшения$action$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.$link$выраженности анальгезирующего действия$noun$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.
выраженности анальгезирующего действия$noun$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.$link$наркотических анальгетиков$group$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.
барбитуратов$group$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.$link$стимулирует$action$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.
стимулирует$action$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.$link$развитие перекрестной толерантности$side_e$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.
фенобарбитала$prepare$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.$Not_link$уменьшения$action$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.
фенобарбитала$prepare$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.$Not_link$выраженности анальгезирующего действия$noun$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.
фенобарбитала$prepare$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.$Not_link$стимулирует$action$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.
уменьшения$action$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.$Not_link$стимулирует$action$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.
выраженности анальгезирующего действия$noun$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.$Not_link$стимулирует$action$При систематическом приеме барбитуратов, особенно фенобарбитала, есть вероятность уменьшения выраженности анальгезирующего действия наркотических анальгетиков, стимулирует развитие перекрестной толерантности.
Лекарственные препараты с м-холиноблокирующей активностью$group$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).$sub_group$психотропные препараты$group$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).
Лекарственные препараты с м-холиноблокирующей активностью$group$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).$sub_group$антигистаминные средства$group$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).
Лекарственные препараты с м-холиноблокирующей активностью$group$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).$sub_group$противорвотные средства$group$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).
Лекарственные препараты с м-холиноблокирующей активностью$group$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).$sub_group$противопаркинсонические средства$group$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).
Лекарственные препараты с м-холиноблокирующей активностью$group$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).$link$могут усиливать$action$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).
могут усиливать$action$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).$link$м-холиноблокирующие нежелательные реакции$side_e$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).
м-холиноблокирующие нежелательные реакции$side_e$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).$link$опиоидов$group$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).
запор$side_e$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).$link$м-холиноблокирующие нежелательные реакции$side_e$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).
сухость во рту$side_e$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).$link$м-холиноблокирующие нежелательные реакции$side_e$Лекарственные препараты с м-холиноблокирующей активностью (например, психотропные препараты, антигистаминные средства, противорвотные средства, противопаркинсонические средства) могут усиливать м-холиноблокирующие нежелательные реакции опиоидов (например, запор, сухость во рту, нарушение мочеиспускания).
