source;target
уменьшение выделение альдостерон;импотенция
угнетение дыхание;гипоксия
периндоприл;анурия
каптоприл;ангионевротический отёк конечность, лицо, губа, слизистый оболочка, язык, глотка и гортань
ранолазин;координация движение
карведилол;синдром стивенс-джонсон
фуросемид;блокировать система транспорт ион в толстой сегмент восходить колено петля генль k+
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;увеличивать сердечный сокращение частота
периндоприл;снижение ад
уменьшение образование угольный кислота;снижение реабсорбция эпителий каналец ион натрий
амлодипин;лейкопения
симпатолитический действие;вазодилатировать эффект
кандесартан;желудочный-кишечный тракт
уменьшать образование ангиотензин II;снижение секреция альдостерон
эсциталопрам;ангионевротический отёк
аллопуринол;боль в животе
колхицин;рвота
увеличивать транспортный ёмкость весь тип мембранный переносчик глюкоза;гипогликемический действие
средство для лечение заболевание сердце;вазодилататор для лечение заболевание сердце
синдром «отмена»;ринит
галофантрина;боль за грудина
эритромицин;повышение конечный диастолический давление в левый желудочек
синдром «отмена»;тошнота
синдром «отмена»;мышечный сокращение
рамиприл;лейкопения
вазодилатировать действие;ортостатический гипотензия
эсциталопрам;отёк
гипокалиемия;усталость
колхицин;дисгевзия
метформин;гепатит
нитроглицерин;нечёткость зрительный восприятие
фозиноприл;аритмия
триметазидин;ангионевротический отёк
аритмия;удлинение интервал qt
пентамидин;желудочковый или наджелудочковый аритмия
ингибирование апф;снижение концентрация ангиотензин ii
аллопуринол;периферическая нейропатия
колхицин;панцитопения
периндоприл;снижение гематокрит
амиодарон;рвота
эритромицин;спазм мышца
колхицин;кома
ранолазин;похолодание конечность
блокада рецептор к ангиотезин ii 1-го тип (AT1);блокировать
цизаприд;кожный сыпь
зипразидон;удлинение интервал qt на экг
угнетение биосинтез пурин;уменьшать концентрация мочевой кислоты кровь
колхицин;мочекаменная болезнь
увеличение выведение натрий;снижать реакция сосуд на катехоламин
небиволол;обморок
гипокалиемия;желтуха
колхицин;артралгия
вазодилататор для лечение заболевание сердце;органический азотсодержащий соединение
амлодипин;отёк квинке
блокатор «медленных» кальциевых каналов;снижать сосудистый сопротивление в почка
карведилол;астения
фуросемид;увеличение активность «печёночный» трансаминаза
ранолазин;постуральной головокружение
колхицин;фурункулез
периндоприл;смертность
фуросемид;обильный потоотделение
антагонист рецептор ангиотензин ii 1 тип;повышение концентрация ангиотензин i
периндоприл;повышение активность «печёночный» фермент в плазма кровь
небиволол;усиление отрицательный инотропный действие
эритромицин;выраженный снижение ад
гидрохлоротиазид;миелосупрессивный действие
галофантрина;удлинение интервал qt на экг
колхицин;гипертрансаминаземия
ранолазин;обморок
спиронолактон;рвота
повышение внутриклеточный концентрация ион кальций адренорецептор α;усиливает глюконеогенез
фозиноприл;гепатит
фуросемид;лихорадка
сохранять энергетический метаболизм клеток;трансмембранный перенос ион калий
фелодипин;метеоризм
каптоприл;боль в живот
повышение внутриклеточный концентрация ион кальций адренорецептор β;расслаблять гладкий мышца бронх
синдром «отмена»;диарея
накопление брадикинин;увеличиваться активность калликреин-кининовый система тканевый
эналаприл;токсический эпидермальный некролиз
амлодипин;сухость в рот
снижение общий периферический сосудистый сопротивление;уменьшение нагрузка на сердце
почка;уремия
эналаприл;повышение активность «печёночный» трансаминаза
лизиноприл;артралгия/артрит
периндоприл;гипогликемия
повышение концентрация циклический гуанозинмонофосфат (цГМФ);действие антигипертрофичекий
периндоприл;алопеция
расширение сосуд;снижать преднагрузка
бепридить;нарушение проводимость сердце
цизаприд;гиперурикемия
амлодипин;анафилактоидный реакция
колхицин;гематурия
дизопирамида;рвота
ингибирование if-канал синусовый узел;фибрилляция предсердие
расширение сосуд;расширение коронарный сосуд
увеличивать поступление кислород в миокард;уменьшать общий ишемический нагрузка
хинидин;мидриаз
амлодипин;повысить риск развитие ангионевротический отёк
ивабрадин;нарушение проводимость сердце
повышение внутриклеточный концентрация ион кальций адренорецептор β;усиление выведение ион калий
цизаприд;недомогание, возможно, связанный с брадикардия
антиаритмический средство, удлинять интервал qt;ибутилида
колхицин;тяжелый реакция гиперчувствительность
цизаприд;одышка
замедление опорожнение желудок;снижение аппетит
норэпинефрин;дыхательный недостаточность
блокировать;высвобождение альдостерон
амлодипин;ингибировать трансмембранный переход ион кальций гладкомышечный клетка сосудистый стенка
рамиприл;анафилактоидный реакция
каптоприл;анорексия
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор α;боль в грудной клетка
печень;образование неактивный метаболит
периндоприл;панкреатит
ингибитор фермент, превращать ангиотензин i в ангиотензин ii;уменьшать опосредовать апф деградация брадикинин
сертиндол;двигательный беспокойство
эсциталопрам;алопеция
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор α;мышечный подергивание
карведилол;кожный реакция
фуросемид;снижение толерантность к глюкоза
гидрохлоротиазид;усиление выведение ион бикарбонат
снижение секреция альдостерон;снижение содержание натрий сыворотка кровь
каптоприл;инсульт
препараты, ингибирующие синтез мочевой кислоты;аллопуринол
увеличивать выведение ион натрий и хлор;гипохлоремический алкалоз
увеличение количество выделять моча;дегидратация
гипотензивный действие;снижение артериальный давление
активироваться система простагландин;одышка
эритромицин;наджелудочковый экстрасистолия
амлодипин;метаболизироваться в печень
агонистом опиоидных рецепторов;обладать высокий сродство к µ-опиоидный рецептор
каптоприл;острый почечный недостаточность
повышение содержание ион кальций;повышаться сила сокращение миокард
сосуд артериальный;антигипертензивный действие
сертиндол;av блокада ii и iii степень
аллопуринол;бессимптомное увеличение концентрации печеночных ферментов
лизиноприл;эозинофилия
рамиприл;утяжеление течение псориаз
галофантрина;повышение конечный диастолический давление в левый желудочек
активация простагландиновая система;увеличение синтез простагландин
фозиноприл;колебание масса тело
мефлохина;рвота
сертралин;миоклонус
хинидин;повышение концентрация креатинин
рамиприлат;кишечник
зипразидон;спазм мышца
ибутилида;рвота
эритромицин;диарея
карведилол;повышение активность аланинаминотрансфераза (алта)
повышать автоматизм миокард;увеличивать потребность миокард в кислород
каптоприл;диспепсия
гипогликемический действие;снижать постпрандиальный концентрация глюкоза в плазма кровь
периндоприл;гиперплазия десна
аллопуринол;общее недомогание
гидрохлоротиазид;лихорадка
ранолазин;дезориентация
нитроглицерин;психотический реакция
дигоксин;абдоминальный боль
ивабрадин;кишечник
бепридить;кожный сыпь
небиволол;кожный сыпь эритематозный характер
бепридить;повышение или снижение ад
воздействовать на гликогенсинтаз;стимулировать синтез внутриклеточный гликоген
метформин;кожный реакция
эналаприл;кожный сыпь
периндоприл;измененией характер стул
фозиноприл;астения
ивабрадин;кожный сыпь
пентамидин;стенокардия
зипразидон;тошнота
галофантрина;спазм мышца
вазоконстрикция;увеличение коронарный кровоток
зипразидон;выраженный снижение ад
каптоприл;выраженный снижение артериальный давление
накопление брадикинин;активация простагландиновая система
фозиноприл;нарушение способность поддерживать равновесие
выведение избыток глюкоза почка;дизурия
эналаприл;нейтропение
небиволол;желудочковый аритмия
карведилол;блокатор адренорецептор β2
амлодипин;артериальный гипотензия
амлодипин;почка
валсартан;боль в живот
пимозид;желудочковый или наджелудочковый аритмия
периндоприл;бессонница
расстройство личность;нарушение памяти
ранолазин;внутрь
нарушение водный-электролитный баланс;гипомагниемия
амлодипин;аритмия
гипотензия;головной боль
фуросемид;повреждать воздействие на сердце и нервный система
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;снижать кровоснабжение внутренний орган
эсциталопрам;меноррагия
каптоприл;синдром рейно
лизиноприл;пузырчатка
морфин;некардиогенный отёк лёгкий
фозиноприл;гипонатриемия
рамиприл;артериальный гипотензия
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор α;снижать внутриглазный давление
синдром «отмена»;чихание
каптоприл;эксфолиативный дерматит
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор α;тревожное состояние
повышать утилизация глюкоза клетка;гипогликемический действие
галофантрина;выраженный снижение ад
карведилол;раздражение глаз
лизиноприл;повышение соэ
рамиприл;рамиприлат
пентамидин;ангионевротический отёк
антагонист рецептор ангиотензин ii 1 тип;повышение концентрация ангиотензин ii
центральный действие;ригидность мышца
небиволол;ангионевротический отёк
рамиприл;анафилактический
фелодипин;лейкоцитокластический васкулит
бепридить;гиперурикемия
норэпинефрин;гемостаз
рамиприл;«прилив» кровь к кожа лицо
небиволол;отёк
увеличивать выведение ион натрий и хлор;гипонатриемия
фелодипин;боль в спина
бепридить;недомогание, возможно, связанный с брадикардия
валсартан;буллезный дерматит
ивабрадин;гиперурикемия
цизаприд;болезненность в место введение
повышать возбудимость миокард;брадикардия
фуросемид;токсический эпидермальный некролиз
фуросемид;анафилактический шок
бепридить;одышка
расширять коронарный артерия;тахикардия
усиление выведение ион бикарбонат;уменьшать активность карбоангидраза
эналаприл;другой кожный реакция
ивабрадин;недомогание, возможно, связанный с брадикардия
снижаться секреция альдостерон;восстановление эластичность крупный артерия
ацетазоламид;острый генерализ ованный экзантематозный пустулёз
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;конвульсия
зипразидон;наджелудочковый экстрасистолия
расширение сосуд;артериальный гипотензия
ивабрадин;повышение конечный диастолический давление в левый желудочек
колхицин;отек
карведилол;сухость слизистый оболочка полость рот
рамиприл;почечная недостаточность
ранолазин;ангионевротический отёк
периндоприл;желтуха
вазоконстрикция;снижение кровоток печень
снижать преднагрузка;снижение ад систолический
эсциталопрам;низкий аффинность рецептор 5-ht2
валсартан;ортостатический головокружение
блокатор адренорецептор β1;антиаритмический
выведение избыток глюкоза почка;инфекция мочевыводить путь
повышение тонус мышца;судорога
фелодипин;экзантема
антиангинальный действие;урежение частота сердечный сокращение
стимулировать at2 рецептор;выраженный снижение ад
гидрохлоротиазид;реакция гиперчувствительность
фелодипин;сонливость
аллопуринол;головокружение
цизаприд;тремор палец рука
аллопуринол;эректильная дисфункция
зипразидон;диарея
удлинение эффективный рефрактерный период;антиаритмический действие
расширение сосуд;«прилив» кровь к кожа лицо
амиодарон;полиурия
сохранять энергетический метаболизм клеток;обеспечивать нормальный функционирование мембранный ионный канал
сертиндол;экстрасистолия
синдром «отмена»;повышение артериальный давление
перераспределение в область с снизить кровообращение;увеличивать доставка кислород в миокард
карведилол;гиперчувствительность (аллергический реакция)
фозиноприл;дерматит
парентерально;конъюнктивальный
анальгетик;опиоид
триметазидин;акинезия
соталола;боль в живот
нитроглицерин;оказывать центральный тормозить влияние симпатический тонус сосуд
снижать постнагрузка;уменьшать потребность миокард в кислород
колхицин;повышение уровня тиреотропного гормона
зипразидон;вазоспазм
ацетилсалициловый кислота;почка
амлодипин;диплопия
галофантрина;диарея
хинидин;боль в живот
фелодипин;аритмия
лизиноприл;повышение активность «печёночный» трансаминаза
ацетазоламид;развитие электролитный нары ушение
рамиприл;нарушение пищеварение
цизаприд;вертиго
органический нитрат;нитроглицерин
карведилол;нарушение зрение
рамиприл;синдром стивенс-джонсон
метаболизироваться в печень;образование неактивный метаболит
синдром «отмена»;мидриаз
ингибитор ангиотензинпревращающать фермент;снижение миокард преднагрузка
мефлохина;шок (у пациент с бронхиальный астма)
амлодипин;экстрапирамидальный расстройство
цизаприд;диплопия
снижение артериальный давление;ощущение сердцебиение
фуросемид;острый генерализовать экзантематозный пустулезть
ибутилида;шок (у пациент с бронхиальный астма)
рамиприл;тревога
препятствовать задержка натрий;гипонатриемия
лс, удлинять интервал qt, не относиться к антиаритмический средство;пимозид
карведилол;недержание моча у женщина, обратимый
снижать давление в лёгочный капилляр артериальный давление;брадикардия
цизаприд;флебит
спиронолактон;острый почечный недостаточность
норэпинефрин;одышка
пентамидин;синдром слабость синусовый узел
эналаприл;глоссит
триметазидин;тремор
ацетазоламид;парестезия
противоподагрические препараты;препараты, ингибирующие синтез мочевой кислоты
эналаприл;почка
нарушение водный-электролитный баланс;головной боль
мефлохина;запор
дизопирамида;полиурия
ивабрадин;почка
ибутилида;запор
сертиндол;стенокардия
замедлять метаболизм брадикинин;вазодилатировать действие
центральный действие;диплопия
амлодипин;гипертонус
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;галлюцинации
антигипертензивный действие;тошнота
пимозид;стенокардия
амиодарон;кожный зуд
фелодипин;диарея
расстройство личность;психотический расстройство
калийнесберегать диуретик;петлевой
фозиноприл;вздутие живота
нарушение периферический кровообращение;синдром рейно
указанный лекарственный средство;урежение чсс
карведилол;боль в живот
соталола;желудочковый или наджелудочковый аритмия
лизиноприл;судорожный подёргивание мышца конечность и губа
расширение сосуд;«нитратный» головной боль
фелодипин;синкопе
бепридить;болезненность в место введение
увеличивать позитивный ионный градиент;снижение секреция водянистый влага передний камера глаза
лизиноприл;панкреатит
антигипертензивный действие;ортостатический гипотензия
антагонисты альдостерона и другие калийсберегающие диуретики;антагонисты альдостерона
периндоприл;почечный недостаточность
хинидин;желудочковый или наджелудочковый аритмия
ивабрадин;болезненность в место введение
гипокалиемия;аритмия
фуросемид;метаболический алкалоз
устранять вазоконстрикторный воздействие;сосуд артериальный
эритромицин;мидриаз
аллопуринол;гепато-спленомегалия
ацетазоламид;периферический парез
сертиндол;ангионевротический отёк
кардиотонические средства, кроме сердечных гликозидов;адренергические и дофаминергические средства
амиодарон;крапивница
ивабрадин;белками плазмы крови
амлодипин;гипонатриемия
пентамидин;выраженный брадикардия с чсс не более 40 уд/мина
увеличиваться активность калликреин-кининовый система тканевый;увеличение синтез простагландин е2
мефлохина;полиурия
лизиноприл;кожный сыпь
пимозид;ангионевротический отёк
морфин;реакция гиперчувствительность
ортостатический гипотензия;потеря сознание
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;лекарственная зависимость
ранолазин;панкреатит
бепридить;тремор палец рука
ибутилида;полиурия
каптоприл;мультиформный эритема
лизиноприл;нейтропение
снижать постнагрузка;снижение ад диастолический
фуросемид;многоформный эритема
восстановление;структура сосудистый стенка мелкий артерия
амлодипин;нитритоидный реакция
ацетазоламид;возбуждение
каптоприл;парестезия
фелодипин;отек лицо
эналаприл;дефицит глюкозо-6фосфатдегидрогеназа
пентамидин;эозинофилия
колхицин;головокружение
метформин;боль в живот
эналаприл;гепатит
потребность миокард в кислород;антиангинальный действие
рамиприл;холестатический желтуха
ингибировать апф;снижать активность ренин-ангиотензин-альдостеронов система (раас)
уменьшать внутриклеточный ионный дисбаланс при ишемия;расслабление миокард
повышение тонус мышца сфинктер мочевой пузырь;нарушение мочеиспускание
ингибировать действие na+/к +-атф-фаза на мембрана кардиомиоцит;корытообразный депрессия сегмент st
дизопирамида;кожный зуд
эритромицин;повышение концентрация креатинин
норэпинефрин;аллергический реакция
блокатор «медленных» кальциевых каналов;n24 проводимость гладкий мускулатура сосуд
противоподагрическое действие;подавляет клеточное деление в стадии метафаза
расстройство личность;психомоторный возбуждение
снижать общий периферический сосудистый сопротивление;гиперемия лицо
спиронолактон;крапивница
индуктор изофермент cyp3a4;уменьшать
антагонист рецептор ангиотензин ii 1 тип;повышение активности ренина
гипокалиемия;повышение концентрация холестерин или триглицерид
бепридить;вертиго
снижение содержание ангиотензин ii;уменьшение выделение альдостерон
аллопуринол;азотемия
бепридить;диплопия
ивабрадин;вертиго
периндоприл;повышение концентрация креатинин в кровь
каптоприл;ощущение сердцебиение
периндоприл;ингибитор фермент, превращать ангиотензин i в ангиотензин ii
каптоприл;миалгия
аллопуринол;мужское бесплодие
триметазидин;кожный сыпь
сертралин;возбуждение
повышать проводимость миокард;увеличивать потребность миокард в кислород
ивабрадин;диплопия
дизопирамида;крапивница
избирательно блокировать рецептор подтип AT1;ортостатическая гипотензия
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;головокружение
подавление автоматизм сердце;замедление атриовентрикулярный проводимость
бепридить;флебит
регуляция артериальный давление;снижение ад
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;послеродовой кровотечение
ингибитор апф и блокатор кальциевый канал;бмкк
фелодипин;артериальная гипотензия
повышение активность калликреин-кининовой система кровь;накопление брадикинин
эналаприл;печёночный недостаточность
ивабрадин;флебит
снижение концентрация ангиотензин ii в плазма кровь;антигипертензивный действие
мефлохина;кожный зуд
психоаналептик;антидепрессант
повышать чувствительность периферический рецептор;инсулин
фуросемид;гемолитический анемия
антиаритмический;нарушение атриовентрикулярный проводимость
ранолазин;бессонница
ибутилида;кожный зуд
периндоприл;васкулит
влияние на обратный захват нейронами норадреналин;брадикардия
ацетазоламид;лихорадка
амлодипин;дисгевзия
рамиприл;чувство усталость
периндоприл;острый артериальный гипотензия
гипергликемия;снижение толерантность к глюкоза
цизаприд;рвота
повышение концентрация циклический гуанозинмонофосфат (цГМФ);снижение симпатическая активность
фозиноприл;боль в живот
ацетазоламид;жкт плазма
периндоприл;повысить риск развитие ангионевротический отёк
блокатор медленный кальциевый канал;амлодипин
повышение тонус мышца;почечный колика
амиодарон;расширение комплекс qrs на экг
зипразидон;мидриаз
фозиноприл;шок
эналаприл;нитратоподобный реакция
дигоксин;кожный сыпь
эсциталопрам;сухость в рот
ингибитор ангиотензинпревращающать фермент;повышение активность калликреин-кининовой система кровь
снижать выработка глюкоза печень;гипогликемический действие
аллопуринол;алопеция
каптоприл;бронхоспазм
мефлохина;крапивница
тахикардия;желудочковый тахикардия
центральный действие;синдром «отмена»
сакубитрил;обморок
амлодипин;кардиоваскулярный смерть
повышение концентрация циклический гуанозинмонофосфат (цГМФ);увеличение скорость клубочковая фильтрация
ибутилида;крапивница
каптоприл;гинекомастие
аллопуринол;атаксия
периндоприл;поллакиурия
рамиприл;панцитопения
периндоприл;спазм мышца
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;панический атака
блокатор адренорецептор β1;сердечный недостаточность
артериальный гипотензия;кардиогенный шок
блокировать разрушение брадикинин;снижать артериальный давление
урежение чсс;av блокада i степень
снижать общий периферический сосудистый сопротивление;антигипертензивный эффект
галофантрина;мидриаз
ингибитор ангиотензинпревращать фермент (апф);фозиноприл
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;хождение во сне
высвобождать из свой молекула оксид азот;расслаблять гладкомышечный клетка мочевыводящий путь
хинидин;стенокардия
амиодарон;тахикардия
эсциталопрам;потоотделение
периндоприл;сонливость
зипразидон;повышение концентрация креатинин
конкурентный антагонист альдостерон;эректильный дисфункция
периндоприл;обморочный состояние
уменьшение секреция альдостерон;гинекомастия
калийнесберегать диуретик;тиазидный
аллопуринол;синдром Стивенса-Джонсона
фелодипин;повышенный утомляемость
морфин;другой вид сыпь
карведилол;бронхит
каптоприл;увеличениемочеиспусканье
мефлохина;неконтролируемый изменение ад
выраженный снижение ад;стенокардия
лизиноприл;почка
эналаприл;серозита
рамиприл;недостаточность
рамиприл;повышение содержание калий в
амлодипин;боль в спина мочеиспускание
ибутилида;неконтролируемый изменение ад
спиронолактон;7альф-тиометилспиронолактон
валсартан;миалгия
ацетазоламид;тромбоцитопения
пимозид;выраженный брадикардия с чсс не более 40 уд/мина
колхицин;миалгия
колхицин;острый холангит
гидрохлоротиазид;снижать экскреция ион кальций с моча
эсциталопрам;риск развитие злокачественный аритмия
антагонист рецептор ангиотензин ii 1 тип;снижение концентрация альдостерон
диуретическое средство;ингибитор карбоангидраза
центральный действие;изменение настроение
ингибирование цог-1;действие анальгезировать
снижать общий периферический сосудистый сопротивление артериальный давление;головокружение
галофантрина;повышение концентрация креатинин
лизиноприл;незначительно связывается с белками плазмы крови
хинидин;ангионевротический отёк
замедление атриовентрикулярный проводимость;антиаритмический действие
фуросемид;гиперемия кожный
эритромицин;боль в живот
ранолазин;тремор
фозиноприл;нарушение зрения/зрительные расстройства
фозиноприл;изменение настроения
фозиноприл;спутанность сознания
сертралин;диафорез
триметазидин;головной боль
периндоприл;аритмия
спиронолактон;васкулит
фуросемид;развитие
пентамидин;нарушение проводимость сердце
пимозид;эозинофилия
вазоконстрикция;снижение кровоток кожа
морфин;снижение либидо
уменьшение секреция альдостерон;гипокалиемия
гидрохлоротиазид;сонливость
карведилол;диспепсический расстройство
периндоприл;внезапный остановка сердце
средство, действовать на ренин-ангиотензиновый система;ингибитор ангиотензинпревращать фермент (апф)
амлодипин;агранулоцитоз или панцитопения
морфин;покраснение лицо
каптоприл;в желудочный-кишечный тракт
эсциталопрам;почка
колхицин;мужское бесплодие
фуросемид;рабдомиолиз
периндоприл;повышенный потоотделение
блокирует захват серотонина тромбоцитами;кровотечение
периндоприл;летальный исход
мефлохина;расширение комплекс qrs на экг
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор α;нервозность
эсциталопрам;недостаточный секреция антидиуретический гормон
каптоприл;повышение концентрация креатинин и билирубин в сыворотка кровь
нарушение водный-электролитный баланс;гипокальциемия
тиазид;гидрохлоротиазид
сакубитрил;гипокалиемия
эналаприл;ухудшение функция почка
снижение ад систолический;уменьшать гипертрофия левый желудочек
небиволол;метеоризм
ибутилида;расширение комплекс qrs на экг
бепридить;рвота
фуросемид;пемфигоид
периндоприл;спутанность сознание
снижение содержание ангиотензин ii;снижать давление в лёгочный капилляр артериальный давление
триметазидин;артериальный гипотензия
триметазидин;почка
сакубитрил;нарушение функция почек
аллопуринол;аплазия
ингибирование цог-1;действие противовоспалительный
колхицин;мышечный слабость
ивабрадин;рвота
высвобождать из свой молекула оксид азот;эндотелиальный релаксировать фактор
небиволол;гиперчувствительность
лизиноприл;гепатит
норэпинефрин;стимулировать действие α-адренорецептор
каптоприл;тромбоцитопения
морфин;повышение активность панкреатический фермент
периндоприл;диарея
повышать возбудимость миокард;желудочковый аритмия
конкурентный антагонист альдостерон;препятствовать задержка вода
антигипертензивный эффект;артериальный гипотензия
периндоприл;депрессия сон
