оригинал;перевод
muscle or bone pain;Боль или боль в костях
nasal congestion;носовые заторы
nausea and vomiting;Тошнота и рвота
runny nose;насморк
sneezing;чихание
sore throat;больное горло
weakness;слабость
blurred vision;размытое зрение
chest pain or discomfort;боль в груди или дискомфорт
chills;озноб
cold sweats;Холодные поты
confusion;путаница
dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;головокружение, слабость или легкомысленность, когда внезапно вставать из положения лжи или сидения
fast, slow, or irregular heartbeat;быстрое, медленное или нерегулярное сердцебиение
pounding or rapid pulse;стук или быстрый пульс
sweating;потоотделение
unusual tiredness or weakness;необычная усталость или слабость
chest pain;боль в груди
chills;озноб
cough or hoarseness;кашель или хрипота
fever;высокая температура
general feeling of tiredness or weakness;общее чувство усталости или слабости
headache;головная боль
lower back or side pain;боль в пояснице или боковой боли
painful or difficult urination;болезненное или трудное мочеиспускание
shortness of breath;одышка
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
swollen or painful glands;опухшие или болезненные железы
tightness in the chest;плотность в груди
unusual bleeding or bruising;необычное кровотечение или синяки
unusual tiredness or weakness;необычная усталость или слабость
wheezing;хрипил
back or leg pains;боли на спине или ногах
black, tarry stools;Черный, табуретки
bleeding gums;кровоточащие десны
blistering, peeling, or loosening of the skin;волдырь, очистка или ослабление кожи
bloating;вздутие живота
blood in the urine or stools;кровь в моче или табуретах
blurred vision;размытое зрение
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
changes in skin color, pain, tenderness, or swelling of the foot or leg;Изменения в цвете кожи, боли, нежности или набухании ноги или ноги
clay-colored stools;глиняный стул
cloudy urine;облачная моча
cold sweats;Холодные поты
confusion;путаница
constipation;запор
continuing ringing or buzzing or other unexplained noise in the ears;Продолжение звонка, гудя или другой необъяснимый шум в ушах
coughing up blood;кашлять кровью
cracks in the skin;трещины в коже
darkened urine;затемненная моча
diarrhea;диарея
difficulty breathing;трудности дыхание
dizziness, faintness, or lightheadedness when getting up from a lying or sitting position;головокружение, слабость или легкомысленность, когда встают из положения лжи или сидения
dry mouth;сухой рот
fast heartbeat;Быстрое сердцебиение
flushed, dry skin;Промытая сухая кожа
fruit-like breath odor;Фруктовый запах дыхания
greatly decreased frequency of urination or amount of urine;значительно снижается частота мочеиспускания или количества мочи
hearing loss;Потеря слуха
increased hunger;Увеличение голода
increased thirst;Увеличение жажды
indigestion;расстройство желудка
itching;зуд
loss of appetite;потеря аппетита
nausea or vomiting;тошнота или рвота
nosebleeds;носовые кровотечения
pain in the joints or muscles;боль в суставах или мышцах
pains in the stomach, side, or abdomen, possibly radiating to the back;боли в животе, стороне или животе, возможно, излучаясь в спину
pale skin;бледная кожа
pinpoint red spots on the skin;Определите красные пятна на коже
red, irritated eyes;красные, раздраженные глаза
red, swollen skin;Красная, опухшая кожа
skin rash;кожная сыпь
spots on your skin resembling a blister or pimple;Пятна на вашей коже, напоминающие волдырь или прыщей
sweating;потоотделение
swelling of the feet or lower legs;Отек ног или нижних ног
trouble breathing with exertion;Проблема дыхания с нагрузкой
unusual weight loss;необычная потеря веса
vomiting of blood;рвота крови
yellow eyes or skin;желтые глаза или кожа
feeling of constant movement of self or surroundings;чувство постоянного движения себя или окружения
hives or welts;ульи или сварки
increased sensitivity of the skin to sunlight;Повышенная чувствительность кожи к солнечному свету
muscle spasm;мышечные спазмы
redness or other discoloration of the skin;покраснение или другое обесцвечивание кожи
restlessness;беспокойство
sensation of spinning;Ощущение спиннинг
severe sunburn;Суровый солнечный ожог
weakness;слабость
back, leg, or stomach pains;боли на спине, ноге или животе
black, tarry stools;Черный, табуретки
bleeding gums;кровоточащие десны
blistering, peeling, or loosening of the skin;волдырь, очистка или ослабление кожи
bloating;вздутие живота
blood in the urine or stools;кровь в моче или табуретах
blue lips and fingernails;Голубые губы и ногти
blurred vision;размытое зрение
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
chest pain or tightness;Боль в груди или стеснение
chills;озноб
clay-colored stools;глиняный стул
cloudy urine;облачная моча
cold sweats;Холодные поты
confusion;путаница
constipation;запор
cough or hoarseness;кашель или хрипота
coughing that sometimes produces a pink frothy sputum;кашель, который иногда производит розовую пенистую мокроту
coughing up blood;кашлять кровью
cracks in the skin;трещины в коже
darkened urine;затемненная моча
decrease in urine-concentrating ability;снижение мочи, концентрирующейся
decreased frequency or amount of urine;снижение частоты или количества мочи
diarrhea;диарея
difficult, fast, or noisy breathing;Сложное, быстрое или шумное дыхание
difficulty with swallowing;Сложность при глотании
dizziness, faintness, or lightheadedness when getting up from a lying or sitting position;головокружение, слабость или легкомысленность, когда встают из положения лжи или сидения
dry mouth;сухой рот
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
fever;высокая температура
flushed, dry skin;Промытая сухая кожа
fruit-like breath odor;Фруктовый запах дыхания
general body swelling;ОБЩИЕ ОТКЛЮЧЕНИЕ
general feeling of discomfort or illness;общее чувство дискомфорта или болезни
greatly decreased frequency of urination or amount of urine;значительно снижается частота мочеиспускания или количества мочи
headache;головная боль
hives, itching, rash;Ульи, зуд, сыпь
increased hunger;Увеличение голода
increased sweating;Повышение потоотделения
increased thirst;Увеличение жажды
increased urination;Увеличение мочеиспускания
indigestion;расстройство желудка
joint pain, stiffness, or swelling;Боль в суставах, жесткость или отек
loss of appetite;потеря аппетита
loss of heat from the body;потеря тепла от тела
lower back or side pain;боль в пояснице или боковой боли
muscle cramps or pain;мышечные спазмы или боль
nausea or vomiting;тошнота или рвота
nosebleeds;носовые кровотечения
numbness, tingling, pain, or weakness in the hands or feet;онемение, покалывание, боль или слабость в руках или ногах
painful or difficult urination;болезненное или трудное мочеиспускание
pains in the stomach or side, possibly radiating to the back;боли в желудке или стороне, возможно, излучаясь в спину
pale skin;бледная кожа
persistent non-healing sore;Постоянная безжигальная боль
pink growth;розовый рост
pinpoint red spots on the skin;Определите красные пятна на коже
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
red, irritated eyes;красные, раздраженные глаза
red skin lesions, often with a purple center;Повреждения красной кожи, часто с фиолетовым центром
red, swollen skin;Красная, опухшая кожа
reddish patch or irritated area;красноватый пятно или раздраженная область
redness, soreness, or scaly skin;покраснение, болезненность или чешуйчатая кожа
seizures;Припадки
shiny bump;блестящая шишка
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
sores, welting, or blisters;язвы, смазывание или волдыри
swelling of the face, fingers, legs, ankles, feet, or lower legs;Отек лица, пальцев, ног, лодыжек, ног или нижних ног
swollen or painful glands;опухшие или болезненные железы
tenderness of salivary glands;нежность слюнных желез
thickening of bronchial secretions;утолщение бронхиальных выделений
trembling;дрожь
trouble breathing;Проблема дыхание
unpleasant breath odor;Неприятный запах дыхания
unusual bleeding or bruising;необычное кровотечение или синяки
unusual tiredness or weakness;необычная усталость или слабость
unusual weight loss;необычная потеря веса
vomiting of blood;рвота крови
weakness and heaviness of the legs;Слабость и тяжесть ног
weight gain;увеличение веса
white, yellow or waxy scar-like area;белая, желтая или восковая область, похожая на рубца
yellow eyes or skin;желтые глаза или кожа
cramping;судороги
decreased interest in sexual intercourse;Снижение интереса к половым актерам
difficulty having a bowel movement (stool);трудности с движением кишечника (стул)
feeling of constant movement of self or surroundings;чувство постоянного движения себя или окружения
hair loss or thinning of the hair;выпадение волос или истончение волос
inability to have or keep an erection;неспособность иметь или сохранить эрекцию
increased sensitivity of the skin to sunlight;Повышенная чувствительность кожи к солнечному свету
loss in sexual ability, desire, drive, or performance;Потеря в сексуальных способностях, желании, движении или производительности
muscle spasm;мышечные спазмы
redness or other discoloration of the skin;покраснение или другое обесцвечивание кожи
restlessness;беспокойство
sensation of spinning;Ощущение спиннинг
severe sunburn;Суровый солнечный ожог
weakness;слабость
blurred vision;размытое зрение
chest pain or discomfort;боль в груди или дискомфорт
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
headache;головная боль
lightheadedness, dizziness, or fainting;легкомысленность, головокружение или обморок
nervousness;нервозность
pounding in the ears;стуча в уши
slow or irregular heartbeat;Медленное или нерегулярное сердцебиение
unusual tiredness;необычная усталость
confusion;путаница
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
hives or welts, itching, or skin rash;ульи или сэлты, зуд или сыпь кожи
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или гениталии
sweating;потоотделение
seeing flashes of light;Видя вспышки света
double vision;двойное видение
feeling of constant movement of self or surroundings;чувство постоянного движения себя или окружения
flushing or redness of the skin;промывка или покраснение кожи
seeing double;Увидев двойник
sensation of spinning;Ощущение спиннинг
trouble seeing;Проблемы с видом
unusually warm skin;необычно теплая кожа
blurred vision;размытое зрение
cloudy urine;облачная моча
confusion;путаница
decrease in urine output or decrease in urine-concentrating ability;Уменьшение вывода мочи или уменьшение способности концентрации мочи
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
sweating;потоотделение
unusual tiredness or weakness;необычная усталость или слабость
abdominal or stomach pain;боль в животе или животе
body aches or pain;боли в теле или боль
chest pain;боль в груди
chills;озноб
common cold;простуда
cough;кашель
diarrhea;диарея
difficulty breathing;трудности дыхание
ear congestion;ушной застой
fever;высокая температура
headache;головная боль
loss of voice;потеря голоса
nasal congestion;носовые заторы
nausea;тошнота
runny nose;насморк
sneezing;чихание
sore throat;больное горло
vomiting;рвота
arm, back, or jaw pain;рука, спина или боль в челюсти
chest discomfort, tightness, or heaviness;грудный дискомфорт, стеснение или тяжесть
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
general feeling of discomfort or illness;общее чувство дискомфорта или болезни
joint pain;боль в суставах
loss of appetite;потеря аппетита
muscle aches and pains;мышечные боли
shivering;дрожь
trouble sleeping;Проблемы со сном
decreased interest in sexual intercourse;Снижение интереса к половым актерам
inability to have or keep an erection;неспособность иметь или сохранить эрекцию
lack or loss of strength;Недостаток или потеря силы
loss in sexual ability, desire, drive, or performance;Потеря в сексуальных способностях, желании, движении или производительности
rash;сыпь
acid or sour stomach;кислотный или кислый желудок
belching;отрыжка
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
feeling of constant movement of self or surroundings;чувство постоянного движения себя или окружения
heartburn;изжога
indigestion;расстройство желудка
muscle cramps;мышечные спазмы
sensation of spinning;Ощущение спиннинг
stomach discomfort or upset;дискомфорт или расстройство желудка
swelling;припухлость
abdominal or stomach discomfort;Дискомфорт в животе или желудке
cough or hoarseness;кашель или хрипота
decreased appetite;Снижение аппетита
diarrhea;диарея
fast or shallow breathing;быстрое или мелкое дыхание
fever or chills;лихорадка или озноб
general feeling of discomfort;общее чувство дискомфорта
lower back or side pain;боль в пояснице или боковой боли
muscle pain or cramping;мышечная боль или спазмы
painful or difficult urination;болезненное или трудное мочеиспускание
sleepiness;сонливость
anxiety;беспокойство
blurred vision;размытое зрение
chest discomfort;грудный дискомфорт
cold sweats;Холодные поты
coma;кома
confusion;путаница
cool, pale skin;Прохладная, бледная кожа
depression;депрессия
difficult or labored breathing;трудное или трудовое дыхание
dizziness;головокружение
fast, irregular, pounding, or racing heartbeat or pulse;быстрое, нерегулярное, стучащее или гоночное сердцебиение или пульс
feeling of warmth;чувство тепла
headache;головная боль
increased hunger;Увеличение голода
increased sweating;Повышение потоотделения
nausea;тошнота
nervousness;нервозность
nightmares;кошмары
redness of the face, neck, arms, and occasionally, upper chest;покраснение лица, шеи, рук и иногда, верхняя грудь
seizures;Припадки
shakiness;шаттин
slurred speech;невнятная речь
tightness in the chest;плотность в груди
unusual tiredness or weakness;необычная усталость или слабость
behavior change similar to being drunk;Изменение поведения, похожее на пьянство
difficulty with concentrating;Сложность с концентрацией
drowsiness;сонливость
lack or loss of strength;Недостаток или потеря силы
restless sleep;Беспокойный сон
unusual sleepiness;необычная сонливость
acid or sour stomach;кислотный или кислый желудок
belching;отрыжка
bloated;раздутый
excess air or gas in the stomach or intestines;избыток воздуха или газа в желудке или кишечнике
full feeling;Полное чувство
heartburn;изжога
indigestion;расстройство желудка
loss of appetite;потеря аппетита
metallic taste in the mouth;металлический вкус во рту
passing of gas;прохождение газа
stomachache;боли в животе
stomach upset or pain;расстройство желудка или боль
vomiting;рвота
weight loss;потеря веса
abnormal stools;аномальные стул
bad, unusual, or unpleasant (after) taste;плохой, необычный или неприятный (после) вкуса
change in taste;Изменение вкуса
difficulty with moving;Сложность с движением
discoloration of the fingernails or toenails;обесцвечивание ногтей или ногти на ногах
flu-like symptoms;Симптомы гриппа
joint pain;боль в суставах
rash;сыпь
sneezing;чихание
stuffy or runny nose;душной или жидкий нос
swollen joints;опухшие суставы
blurred vision;размытое зрение
chest pain or discomfort;боль в груди или дискомфорт
confusion;путаница
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
slow or irregular heartbeat;Медленное или нерегулярное сердцебиение
sweating;потоотделение
unusual tiredness or weakness;необычная усталость или слабость
bloating or swelling of the face, arms, hands, lower legs, or feet;вздутие живота или отек лица, руки, руки, нижние ноги или ноги
chest tightness;Грузость груди
cough;кашель
decreased urine output;Снижение выхода мочи
difficult or labored breathing;трудное или трудовое дыхание
difficulty with speaking;трудность с выступлением
dilated neck veins;Расширенные вены шеи
disturbed color perception;нарушенное восприятие цвета
double vision;двойное видение
fast, pounding, or racing heartbeat or pulse;Быстро, стучать или гоночное сердцебиение или пульс
halos around lights;Гало вокруг огней
headache;головная боль
inability to move the arms, legs, or facial muscles;Неспособность перемещать руки, ноги или мышцы лица
inability to speak;неспособность говорить
irregular breathing;нерегулярное дыхание
loss of vision;потеря зрения
night blindness;ночная слепота
noisy breathing;шумное дыхание
overbright appearance of lights;Внешний вид света
pain, tension, and weakness upon walking that subsides during periods of rest;боль, напряжение и слабость при ходьбе, которая утихнет во время периодов отдыха
paleness or cold feeling in the fingertips and toes;бледность или холодные ощущения в кончиках пальцев и ног
rapid weight gain;Быстрое увеличение веса
seeing, hearing, or feeling things that are not there;Видеть, слышать или чувствовать вещи, которых нет
short-term memory loss;Краткосрочная потеря памяти
slow speech;Медленная речь
swelling of the face, fingers, feet, or lower legs;отек лица, пальцев, ног или нижних ног
tingling of the hands or feet;покалывание рук или ног
tingling or pain in the fingers or toes when exposed to cold temperatures;покалывание или боль в пальцах пальцев или ног при воздействии холодных температур
trouble breathing;Проблема дыхание
tunnel vision;туннельное зрение
unusual weight gain or loss;необычный прирост веса или потеря
bluish color of the skin of the fingers or toes;голубоватый цвет кожи пальцев рук или ног
chills;озноб
clay-colored stools;глиняный стул
continuing loss of appetite;Продолжающаяся потеря аппетита
continuing or severe abdominal or stomach pain;Продолжающаяся или сильная боль в животе или желудке
continuing or severe nausea and vomiting;продолжающаяся или сильная тошнота и рвота
dark urine;темная моча
difficulty with moving;Сложность с движением
fever;высокая температура
hoarseness;охриплость
increased frequency of urination;Увеличение частоты мочеиспускания
itching skin;Зуд кожу
light-colored stools;Светлый стул
lower back or side pain;боль в пояснице или боковой боли
muscle pain or stiffness;мышечная боль или жесткость
numbness of the fingers or toes;онемение рук или ног
pain, swelling, or redness in the joints;боль, отек или покраснение в суставах
rash;сыпь
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
unpleasant breath odor;Неприятный запах дыхания
unusual bleeding or bruising;необычное кровотечение или синяки
upper right abdominal or stomach pain;боль в верхней правой брюшной или желудке
vomiting of blood;рвота крови
weakness;слабость
yellow eyes and skin;желтые глаза и кожа
black, tarry stools;Черный, табуретки
bleeding gums;кровоточащие десны
blood in the urine or stools;кровь в моче или табуретах
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
cool, sweaty skin;Прохладная, потная кожа
pinpoint red spots on the skin;Определите красные пятна на коже
belching;отрыжка
bloated feeling;раздутое чувство
decreased interest in sexual intercourse;Снижение интереса к половым актерам
difficulty having a bowel movement;трудности с движением кишечника
discouragement;уныние
dry mouth;сухой рот
excess air or gas in stomach or bowels;Избыток воздуха или газа в желудке или кишечнике
feeling of constant movement of self or surroundings;чувство постоянного движения себя или окружения
feeling of fullness;чувство полноты
feeling of indigestion;чувство расстройства желудка
feeling sad or empty;Чувствуя грусть или пусто
inability to have or keep an erection;неспособность иметь или сохранить эрекцию
irritability;раздражительность
loss in sexual ability, desire, drive, or performance;Потеря в сексуальных способностях, желании, движении или производительности
loss of interest or pleasure;потеря интереса или удовольствия
nightmares;кошмары
pain in the chest below the breastbone;боль в груди под грудкой
passing gas;проходящий газ
redness or other discoloration of the skin;покраснение или другое обесцвечивание кожи
runny or stuffy nose;жидкий или душный нос
sensation of spinning;Ощущение спиннинг
sneezing;чихание
tiredness;усталость
trouble concentrating;Проблема концентрируется
trouble sleeping;Проблемы со сном
bone pain;боль в костях
continuing ringing or buzzing or other unexplained noise in the ears;Продолжение звонка, гудя или другой необъяснимый шум в ушах
dry eyes;сухие глаза
hair loss or thinning of the hair;выпадение волос или истончение волос
hearing loss;Потеря слуха
increased sensitivity of the skin to sunlight;Повышенная чувствительность кожи к солнечному свету
pain in the penis on erection;боль в пенисе при эрекции
severe sunburn;Суровый солнечный ожог
change in taste or bad, unusual, or unpleasant (after) taste;Изменение вкуса или плохой, необычный или неприятный (после) вкуса
fear or nervousness;страх или нервозность
hives or welts;ульи или сварки
blurred vision;размытое зрение
bulging soft spot on the head of an infant;выпирающая мягкая точка на голове младенца
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
change in the ability to see colors, especially blue or yellow;Изменения в способности видеть цвета, особенно синие или желтые
chest pain or discomfort;боль в груди или дискомфорт
chills;озноб
confusion;путаница
cough;кашель
decreased urination;Снижение мочеиспускания
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
fainting;обморок
fast, pounding, or irregular heartbeat or pulse;Быстро, стучание или нерегулярное сердцебиение или пульс
headache;головная боль
hives, itching, or skin rash;ульи, зуд или кожная сыпь
increased sweating;Повышение потоотделения
loss of appetite;потеря аппетита
nausea;тошнота
nervousness;нервозность
pounding in the ears;стуча в уши
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
severe constipation;тяжелый запор
severe vomiting;Сильная рвота
shakiness in the legs, arms, hands, or feet;шаттин в ногах, руках, руках или ногах
slow heartbeat;Медленное сердцебиение
stomach pain;боль в животе
sweating;потоотделение
vomiting;рвота
agitation;агитация
black, tarry stools;Черный, табуретки
cold, clammy skin;холодная, липкая кожа
darkening of the skin;потемнение кожи
diarrhea;диарея
difficulty swallowing;Сложность глотания
feeling of warmth or heat;чувство тепла или тепла
fever;высокая температура
flushing or redness of the skin, especially on the face and neck;промывка или покраснение кожи, особенно на лице и шеи
irregular, fast or slow, or shallow breathing;нерегулярное, быстрое или медленное или мелкое дыхание
lightheadedness;легкомысленность
loss of consciousness;потеря сознания
low blood pressure or pulse;низкое кровяное давление или пульс
mental depression;психическая депрессия
overactive reflexes;гиперактивные рефлексы
painful urination;болезненное мочеиспускание
pale or blue lips, fingernails, or skin;бледные или синие губы, ногти или кожа
pale skin;бледная кожа
pinpoint red spots on the skin;Определите красные пятна на коже
poor coordination;плохая координация
pounding in the ears;стуча в уши
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
restlessness;беспокойство
shakiness and unsteady walk;шаткий и неустойчивая прогулка
shivering;дрожь
talking or acting with excitement you cannot control;Говорить или действовать с волнением, вы не можете контролировать
tightness in the chest;плотность в груди
twitching;дергается
unsteadiness, trembling, or other problems with muscle control or coordination;неустойчивость, дрожь или другие проблемы с контролем мышц или координации
unusual bleeding or bruising;необычное кровотечение или синяки
unusual tiredness or weakness;необычная усталость или слабость
very slow heartbeat;Очень медленное сердцебиение
cramps;судороги
difficulty having a bowel movement;трудности с движением кишечника
drowsiness;сонливость
false or unusual sense of well-being;ложное или необычное чувство благополучия
relaxed and calm feeling;расслабленное и спокойное чувство
sleepiness or unusual drowsiness;сонливость или необычная сонливость
weight loss;потеря веса
absent, missed, or irregular menstrual periods;Отсутствуют, пропущены или нерегулярные менструальные периоды
bad, unusual, or unpleasant (after) taste;плохой, необычный или неприятный (после) вкуса
change in vision;Изменение в зрении
dry mouth;сухой рот
floating feeling;плавающее чувство
halos around lights;Гало вокруг огней
heartburn or indigestion;изжога или расстройство желудка
loss in sexual ability, desire, drive, or performance;Потеря в сексуальных способностях, желании, движении или производительности
muscle stiffness or tightness;мышечная жесткость или стеснение
night blindness;ночная слепота
overbright appearance of lights;Внешний вид света
problems with muscle control;Проблемы с контролем мышц
stomach discomfort or upset;дискомфорт или расстройство желудка
trouble sleeping;Проблемы со сном
uncontrolled eye movements;Неконтролируемые движения глаз
blurred vision;размытое зрение
bulging soft spot on the head of an infant;выпирающая мягкая точка на голове младенца
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
change in the ability to see colors, especially blue or yellow;Изменения в способности видеть цвета, особенно синие или желтые
chest pain or discomfort;боль в груди или дискомфорт
chills;озноб
confusion;путаница
cough;кашель
decreased urination;Снижение мочеиспускания
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
fainting;обморок
fast, pounding, or irregular heartbeat or pulse;Быстро, стучание или нерегулярное сердцебиение или пульс
headache;головная боль
hives, itching, or skin rash;ульи, зуд или кожная сыпь
increased sweating;Повышение потоотделения
loss of appetite;потеря аппетита
nausea;тошнота
nervousness;нервозность
pounding in the ears;стуча в уши
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
severe constipation;тяжелый запор
severe vomiting;Сильная рвота
shakiness in the legs, arms, hands, or feet;шаттин в ногах, руках, руках или ногах
slow heartbeat;Медленное сердцебиение
stomach pain;боль в животе
sweating;потоотделение
vomiting;рвота
abnormal dreams;ненормальные мечты
change in walking and balance;Изменение ходьбы и баланса
change or problem with discharge of semen;Изменения или проблема с разрядкой спермы
clumsiness or unsteadiness;неуклюжость или неустойчивость
confusion as to time, place, or person;путаница в отношении времени, места или человека
false beliefs that cannot be changed by facts;ложные убеждения, которые не могут быть изменены фактами
feeling of constant movement of self or surroundings;чувство постоянного движения себя или окружения
general feeling of discomfort or illness;общее чувство дискомфорта или болезни
holding false beliefs that cannot be changed by fact;удерживая ложные убеждения, которые нельзя изменить фактом
poor insight and judgment;Плохое понимание и суждение
problems with memory or speech;Проблемы с памятью или речью
seeing, hearing, or feeling things that are not there;Видеть, слышать или чувствовать вещи, которых нет
sensation of spinning;Ощущение спиннинг
trouble recognizing objects;Проблемы с распознаванием объектов
trouble thinking and planning;Проблемы с мышлением и планированием
trouble walking;Проблема ходить
unusual excitement, nervousness, or restlessness;необычное волнение, нервозность или беспокойство
agitation;агитация
black, tarry stools;Черный, табуретки
cold, clammy skin;холодная, липкая кожа
darkening of the skin;потемнение кожи
diarrhea;диарея
difficulty swallowing;Сложность глотания
feeling of warmth or heat;чувство тепла или тепла
fever;высокая температура
flushing or redness of the skin, especially on the face and neck;промывка или покраснение кожи, особенно на лице и шеи
irregular, fast or slow, or shallow breathing;нерегулярное, быстрое или медленное или мелкое дыхание
lightheadedness;легкомысленность
loss of consciousness;потеря сознания
low blood pressure or pulse;низкое кровяное давление или пульс
mental depression;психическая депрессия
overactive reflexes;гиперактивные рефлексы
painful urination;болезненное мочеиспускание
pale or blue lips, fingernails, or skin;бледные или синие губы, ногти или кожа
pale skin;бледная кожа
pinpoint red spots on the skin;Определите красные пятна на коже
poor coordination;плохая координация
pounding in the ears;стуча в уши
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
restlessness;беспокойство
shakiness and unsteady walk;шаткий и неустойчивая прогулка
shivering;дрожь
talking or acting with excitement you cannot control;Говорить или действовать с волнением, вы не можете контролировать
tightness in the chest;плотность в груди
twitching;дергается
unsteadiness, trembling, or other problems with muscle control or coordination;неустойчивость, дрожь или другие проблемы с контролем мышц или координации
unusual bleeding or bruising;необычное кровотечение или синяки
unusual tiredness or weakness;необычная усталость или слабость
very slow heartbeat;Очень медленное сердцебиение
bloating or swelling of the face, arms, hands, lower legs, or feet;вздутие живота или отек лица, руки, руки, нижние ноги или ноги
chest pain or discomfort;боль в груди или дискомфорт
difficult or labored breathing;трудное или трудовое дыхание
lightheadedness, dizziness, or fainting;легкомысленность, головокружение или обморок
rapid weight gain;Быстрое увеличение веса
shortness of breath;одышка
slow or irregular heartbeat;Медленное или нерегулярное сердцебиение
tightness in the chest;плотность в груди
tingling of the hands or feet;покалывание рук или ног
unusual tiredness or weakness;необычная усталость или слабость
